Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125738.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125739.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125747.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125913.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125930.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125941.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125943.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125944.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125950.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305125953.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130012.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130015.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130016.l                  | Lex          |        109 |          0 |         10 |        119 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130018.l                  | Lex          |        109 |          0 |         10 |        119 |
