"filename", "language", "C++", "C", "Makefile", "comment", "blank", "total"
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120304.h", "C", 0, 16, 0, 0, 6, 22
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120313.h", "C", 0, 16, 0, 0, 6, 22
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120450.h", "C", 0, 16, 0, 0, 6, 22
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120509.h", "C", 0, 16, 0, 0, 6, 22
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120515.h", "C", 0, 16, 0, 0, 6, 22
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120544.h", "C", 0, 16, 0, 0, 8, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120547.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120551.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120554.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120559.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120601.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120605.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120608.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120613.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120614.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120615.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120616.h", "C", 0, 17, 0, 0, 7, 24
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120644.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120646.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120647.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120944.h", "C", 0, 19, 0, 0, 7, 26
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414120947.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121132.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121138.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121213.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121215.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121220.h", "C", 0, 18, 0, 0, 7, 25
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121528.h", "C", 0, 19, 0, 0, 7, 26
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121622.h", "C", 0, 19, 0, 0, 9, 28
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121626.h", "C", 0, 19, 0, 0, 9, 28
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121634.h", "C", 0, 21, 0, 0, 8, 29
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121640.h", "C", 0, 21, 0, 0, 8, 29
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121642.h", "C", 0, 22, 0, 0, 9, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121645.h", "C", 0, 23, 0, 0, 9, 32
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121651.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121653.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121657.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121700.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121701.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121703.h", "C", 0, 23, 0, 0, 8, 31
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121705.h", "C", 0, 24, 0, 0, 9, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121709.h", "C", 0, 24, 0, 0, 9, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121715.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121716.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121717.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121723.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121724.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121732.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121742.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121744.h", "C", 0, 25, 0, 0, 9, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121746.h", "C", 0, 26, 0, 0, 8, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121750.h", "C", 0, 26, 0, 0, 9, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121752.h", "C", 0, 27, 0, 0, 8, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121753.h", "C", 0, 27, 0, 0, 8, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121755.h", "C", 0, 27, 0, 0, 8, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121809.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121810.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121819.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121821.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121836.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121838.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121840.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121844.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121846.h", "C", 0, 28, 0, 0, 9, 37
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121849.h", "C", 0, 29, 0, 0, 9, 38
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121857.h", "C", 0, 30, 0, 0, 10, 40
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121859.h", "C", 0, 31, 0, 0, 9, 40
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121902.h", "C", 0, 31, 0, 0, 9, 40
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121908.h", "C", 0, 32, 0, 0, 9, 41
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414121926.h", "C", 0, 25, 0, 0, 8, 33
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414202614.h", "C", 0, 25, 0, 0, 10, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414202620.h", "C", 0, 26, 0, 0, 9, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414202629.h", "C", 0, 26, 0, 0, 9, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203626.h", "C", 0, 26, 0, 0, 10, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203628.h", "C", 0, 26, 0, 0, 9, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203633.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203634.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203639.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203642.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203645.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203650.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203654.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203656.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203659.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203708.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203710.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203712.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203923.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203924.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414203947.h", "C", 0, 27, 0, 0, 9, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204502.h", "C", 0, 26, 0, 0, 9, 35
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204504.h", "C", 0, 25, 0, 0, 9, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204507.h", "C", 0, 25, 0, 0, 9, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204509.h", "C", 0, 25, 0, 0, 9, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204516.h", "C", 0, 25, 0, 0, 9, 34
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204524.h", "C", 0, 25, 0, 0, 11, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204527.h", "C", 0, 26, 0, 0, 10, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204534.h", "C", 0, 26, 0, 0, 10, 36
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204535.h", "C", 0, 27, 0, 0, 11, 38
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204539.h", "C", 0, 28, 0, 0, 10, 38
"/home/kid-a/homeworks/compiler/lab2/.history/src/defs_20250414204540.h", "C", 0, 28, 0, 0, 10, 38
